ipRange,ipString,output,timestamp
8-8.8-8.8-8.0-255,"Google LLC [Data Center/Web Hosting/Transit] <Ip Range: 8.8.8.0 - 8.8.8.255> (US, CA - Mountain View)",No malicious activity suspected / reported,03/10/2024 21:28:41.442918
192-192.71-71.249-249.0-255,TEST EDIT EDIS-M247-Belgium/Resilans AB [Data Center/Web Hosting/Transit] <Ip Range: 192.71.249.0 - 192.71.249.255> (BE),No malicious activity suspected / reported,03/10/2024 21:30:01.108449
